來源檔案,向量比對文字 (問題或段落),解答 (隱藏標籤)
工作經歷,"【資料分類：工作經歷】
你在創群科技做過什麼專案？",他在創群科技用 C# 搭配 MVC 架構擴充官網平台功能，之後負責東南亞（柬埔寨等）加油站業務系統，採用 C# Razor 開發。
工作經歷,"【資料分類：工作經歷】
你有海外專案的經驗嗎？",有。他在創群科技期間負責東南亞（柬埔寨等）加油站業務系統的開發，使用 C# Razor 技術。
技術能力,"【資料分類：技術能力】
張序亞會什麼樣的技能？",張序亞熟練掌握前端與全端開發技術，並利用私人時間深度鑽研 SQL Server、PostgreSQL 等關聯式資料庫，奠定全端開發的厚實基礎。
技術能力,"【資料分類：技術能力】
你會哪些技術？",前端與全端開發、C# 與 MVC／Razor、SQL Server 與 PostgreSQL 等關聯式資料庫，以及 Python、LangGraph 多智能體、ChromaDB 向量資料庫、Docker 與 GitHub Actions CI/CD。
技術能力,"【資料分類：技術能力】
你的後端技術棧是什麼？",工作上以 C#（MVC、Razor）搭配 SQL Server、PostgreSQL 為主；個人的 AI 專案則使用 Python、Flask、WebSocket，並以 ChromaDB 作為向量資料庫。
技術能力,"【資料分類：技術能力】
張序亞如何處理金融交易數據以避免誤差？",為確保龐大金融交易數據的精準度，他主動導入「銀行家捨入法 (Banker's Rounding，四捨六入五成雙)」，完美迴避巨量浮點數累加產生的誤差，展現對商業邏輯的嚴謹態度。
技術能力,"【資料分類：技術能力】
C# 銀行家捨入法是什麼？",銀行家捨入法（Banker's Rounding）又稱四捨六入五成雙，是一種在遇到 0.5 時改為進位到最接近偶數的捨入規則。張序亞在處理龐大金融交易數據時主動導入這個方法，避免巨量浮點數累加後產生系統性誤差。
AI與LLM,"【資料分類：AI與LLM】
張序亞對AI與LLM的理解程度到哪裡？",他對 AI 的理解深入 NLP 與底層架構，熟稔 Transformer 的注意力機制 (Attention)、矩陣運算及 Token 本質，掌握 Context Window 記憶限制與 LoRA 微調概念。
AI與LLM,"【資料分類：AI與LLM】
你懂 Transformer 的原理嗎？",他熟悉 Transformer 的注意力機制（Attention）與矩陣運算，也理解 Token 的本質、Context Window 的記憶限制，以及 LoRA 微調的概念。
RAG與向量資料庫,"【資料分類：RAG與向量資料庫】
張序亞如何實作RAG系統？",他能運用 ChromaDB 等向量資料庫，透過高維度向量的餘弦相似度 (Cosine Similarity) 進行精準檢索，親手搭建 RAG 雙軌架構系統以大幅降低模型幻覺 (Hallucination)。
RAG與向量資料庫,"【資料分類：RAG與向量資料庫】
RAG 雙軌架構怎麼運作？",雙軌的意思是知識庫分成兩層：A 軌是人工撰寫、逐題校對過的高精準問答庫，命中時直接回覆標準答案；B 軌是把 PDF 自動切塊建立的擴展庫，涵蓋範圍廣但精度較低。查詢時先比對 A 軌，相似度夠高就直接採用；不夠高才退到 B 軌撈參考段落，兼顧精準度與覆蓋率。
RAG與向量資料庫,"【資料分類：RAG與向量資料庫】
你怎麼降低 AI 的幻覺？",作法有三層：一是用 RAG 雙軌架構讓回答有明確出處；二是在多智能體流程中設置「事實帳本」，所有數字都必須來自工具查證的結果；三是加上數字溯源檢查，算式裡的數字若不在帳本或題目中就直接擋下。
多智能體架構,"【資料分類：多智能體架構】
你做過哪些 AI Agent 專案？",他自建了一套暱稱「航空母艦戰鬥群」的多智能體系統，以 LangGraph 實作，由規劃官負責任務拆解、主管負責派工、網路戰士執行搜尋、算盤法師執行計算，最後由客服角色統整回覆，每個工具節點出口都設有獨立的品管節點負責驗收。
多智能體架構,"【資料分類：多智能體架構】
多智能體的架構是怎麼設計的？",採 Planner–Supervisor–Worker 的分層設計：規劃官在開場一次性把問題拆成任務清單，主管依清單以純程式邏輯逐項派工（不呼叫模型，因此不會產生幻覺或迴圈），工作節點執行後把結果登錄進共用的事實帳本，最後由回覆節點只根據帳本作答。
多智能體架構,"【資料分類：多智能體架構】
你怎麼避免 AI Agent 陷入無限迴圈？",用多層物理防線：任務清單讓主管清楚知道進度，不會重複派同一件工作；關鍵字硬去重避免重複呼叫外部 API；每個節點與每輪都有呼叫次數上限；品管節點以明確的狀態旗標判斷成敗，而不是掃描文字關鍵字。
DevOps與CICD,"【資料分類：DevOps與CICD】
張序亞懂DevOps或CI/CD嗎？部署經驗為何？",他的開發思維已昇華至 AI Agent 協作層次。在 DevOps 方面，他熟練掌握 Docker 容器化技術與 Image 打包，並透過 GitHub Actions 打造 CI/CD 現代化流水線，實現自動推送至 Docker Hub 並持續部署。
DevOps與CICD,"【資料分類：DevOps與CICD】
談談你的 DevOps 與 CI/CD 經驗",他以 Docker 進行容器化與 Image 打包，並用 GitHub Actions 建立 CI/CD 流水線，程式推送後自動建置並推送到 Docker Hub，接著持續部署。
DevOps與CICD,"【資料分類：DevOps與CICD】
你的 CI/CD 是怎麼學起來的？",他從實際需求出發：先把個人專案容器化解決環境不一致的問題，再用 GitHub Actions 把「建置－推送 Docker Hub－部署」這條流程自動化，邊做邊補足觀念。
系統防護,"【資料分類：系統防護】
張序亞開發的系統有什麼防護機制？",他能建立自動處理任務的 Workflow，並加入了「自動校正與即時錯誤警報」的防護網，當程式出現異常時能立即發出警報，確保系統穩定性。
系統防護,"【資料分類：系統防護】
你怎麼確保系統的穩定性？",在流程中內建自動校正與即時錯誤警報機制，異常發生時立刻通知；同時對外部呼叫設定逾時保護與次數上限，避免單一失敗拖垮整個服務。
