source,question,answer
工作經歷,他在創群科技負責什麼專案？,三個主要專案：一是主導開發 LINE 官方 AI 客服系統並導入雙軌 RAG 架構；二是獨立負責柬埔寨加油站稅務控制系統的全端架構與資料庫設計；三是官方網站雲端電子發票功能模組的架構設計與優化。
工作經歷,你在創群科技做過什麼專案？,三個主要專案：LINE 官方 AI 客服系統的 RAG 雙軌架構導入、柬埔寨加油站稅務控制系統的全端開發，以及官網雲端電子發票服務模組的架構與流程優化。
工作經歷,他在目前的團隊中扮演什麼角色？,他是團隊中的全端開發主力，同時具備架構設計的角色。這幾個專案基本上都是獨立完成，從完全不理解 LLM 底層邏輯開始，一路自己讀懂並實作出可上線的系統。
工作經歷,這些專案是團隊做的還是你自己做的？,主要是獨立完成。以 AI 客服為例，他從對 LLM 底層邏輯完全不了解開始，自己補齊向量檢索、提示工程與多執行緒併發的知識，再把整套系統實作出來。
工作經歷,你的總工作年資有多久？,軟體工程相關的工作經歷約 3 到 4 年，2023 年正式投入軟體工程領域，2024 年 9 月起任職於創群科技。在此之前則有旅遊服務業與餐飲業的第一線工作經驗。
工作經歷,轉職前的工作經歷有哪些？,他曾在台北租車擔任車管 OP，負責車輛胎壓、強制險與油料打單建檔；也在台灣租車擔任客服人員與 OP，以及在典華婚訂與村民食堂擔任服務人員。
工作經歷,現在做的這個面試 AI 跟公司的客服機器人有關係嗎？,有。他在創群科技開發的是基於 Ollama 的 LINE 官方帳號客服機器人，而這個面試 AI 助理是另一個獨立專案，架構上是從當時的客服機器人強化演進而來，加入了多智能體協作與工具呼叫的能力。
LINE客服專案,LINE 官方 AI 客服是你做的嗎？,是。這個專案從 2025 年 4 月開始並持續進行中，他從零主導規劃與開發。起因是企業既有知識庫稀疏、傳統客服機器人回覆不精準，因此他導入 RAG 檢索增強生成技術來解決。
LINE客服專案,張序亞在AI客服專案中用了什麼RAG架構？,他整合 Ollama 與 ChromaDB，設計出「高精準 A 軌」與「模糊擴展 B 軌」的雙軌 RAG 檢索機制，依相似度門檻做動態分流，讓常見問題走人工校對的標準答案、長尾問題仍有內容兜底。
LINE客服專案,客服系統怎麼防止 AI 產生幻覺？,兩個層面：一是實作圖片 Base64 轉換與多模態視覺解析，採用「先解析、後客服」的兩段式提示工程，避免模型一次做太多事；二是導入 Regex 業務防護網，嚴格攔截財務與金流敏感字眼，確保企業服務的合規與安全。
LINE客服專案,客服系統有處理圖片訊息嗎？,有。他實作了圖片 Base64 轉換與 Vision 多模態視覺解析，並以「先解析、後客服」的兩段式流程，確保圖片內容被正確解析後才進入回覆階段。
LINE客服專案,使用者一直連續傳訊息怎麼辦？,他開發了多執行緒訊息緩衝機制來處理使用者「碎語」造成的 API 頻繁呼叫問題，把短時間內的連續訊息合併成一次請求，並搭配 SQLite 持久化記憶與 Daemon Thread 超時狀態機控制流程。
LINE客服專案,什麼是業務防護網 Guardrails？,是在 AI 回覆流程外層加上的規則攔截層。他導入 Regex 嚴格攔截財務與金流相關的敏感字眼，只要問題涉及金錢就不讓模型自行回答，改由既定流程處理，確保企業服務的合規性。
柬埔寨稅務專案,柬埔寨加油站的專案在做什麼？,那是公司進軍東南亞市場的核心專案，時間為 2024 年 12 月到 2025 年 4 月，開發柬埔寨加油站的稅務控制與管理平台。他在緊湊時程內完成系統架構與關聯式資料庫 ER Model 建置，確保跨國系統的擴充性與穩定性。
柬埔寨稅務專案,柬埔寨專案具體事幹嘛的？,柬埔寨專案具提在開發的內容是柬埔寨當地的加油機專案，需要針對不同區域、不同站點、加油島、加油機以及由槍的出油量做計算。
柬埔寨稅務專案,柬埔寨專案為什麼需要使用銀行家捨入法？,柬埔寨的專案是因為公司本身有接觸中油加油機的業務，柬埔寨政府希望能防止逃漏稅，所以希望在當地民營加油站的機器設定此系統，因為汽油是交通必備民生物資，所以當地政府能夠查看累積出油量反向推算賣了多少油品進而課稅，因為油站每月、每日的累積出油量非常的巨大，為了降低計算誤差所以使用銀行家捨入法來計算。
柬埔寨稅務專案,你有海外或跨國專案的經驗嗎？,有。他獨立負責柬埔寨加油站稅務控制系統的全端架構設計與前後端開發，處理跨國稅務規則與海量交易資料。
柬埔寨稅務專案,他在柬埔寨專案如何處理跨國稅務的數據誤差？,針對高頻率、大數據量的累積出油量與跨國稅務計算，他主動導入「銀行家捨入法，四捨六入五成雙」，消除大量浮點數運算累積的系統誤差，確保營收數據的絕對精準。
柬埔寨稅務專案,加油站設備的狀態怎麼監控？,他設計並實作了設備心跳檢測機制，讓管理端能以極低延遲即時監控每一座加油島、加油機與油槍的健康狀態與故障回報。
柬埔寨稅務專案,這個專案你負責到什麼程度？,從系統架構、關聯式資料庫 ER Model 設計，到前後端 API 串接與複雜商業邏輯封裝，都是他獨立完成。
電子發票專案,官網雲端電子發票是什麼專案？,那是 2024 年 9 月到 11 月的專案，他負責公司官方網站雲端電子發票功能模組的架構設計與開發。透過優化既有服務流程解決客戶建檔痛點，功能上線後有效減少客服進線詢問率達 20% 以上。
電子發票專案,電子發票模組你用什麼架構寫的？,基於 ASP.NET MVC 與 Razor 語法，建置「部門與商品結構化管理」模組，嚴格落實 Model-View-Controller 的關注點分離原則，提升程式碼的可維護性。
電子發票專案,你怎麼確保資料庫的資料完整性？,他運用 MS SQL Server 進行關聯結構設計與 CRUD 實作，並在底層邏輯加入資料完整性檢核。例如若某個部門層級下還有綁定的商品，系統會主動阻擋刪除操作，避免產生孤兒資料。
電子發票專案,有做什麼使用者體驗上的優化嗎？,針對客戶建檔的痛點，他開發了動態搜尋與快速建檔功能，讓客戶在開立發票時能直覺、無縫地選取或新增常用商品，顯著降低人工處理成本，也讓客服進線率下降超過兩成。
技術能力,張序亞會什麼樣的技能？,AI 與數據工程方面包含 LLM 串接、RAG 雙軌架構、Vision 多模態解析、Prompt Guardrails、Ollama Modelfile 調校、ChromaDB 與 FAISS、SentenceTransformers；後端則是 Python Flask、C# MVC、RESTful API、Webhook 整合與多執行緒併發處理。
技術能力,你會哪些技術？,後端以 Python（Flask）與 C# MVC 為主，資料庫涵蓋 MS SQL Server、MySQL、SQLite 與向量資料庫 ChromaDB、FAISS；前端有 JavaScript ES6+、React.js、Vue.js、jQuery 與 RWD；DevOps 則是 Docker、GitHub Actions、YAML 與 SSL/HTTPS 憑證配置。
技術能力,你的後端技術棧是什麼？,Python（Flask）與 C# MVC 為主軸，搭配 RESTful API 設計、Webhook 整合、多執行緒併發處理與狀態機管理，另有基礎的 Node.js 與 PHP 能力。
技術能力,你的前端能力如何？,JavaScript ES6+、React.js、Vue.js、jQuery、HTML5、CSS3 與 SASS、RWD 響應式設計，並使用 Figma 進行介面協作，可獨立完成前後端 API 串接與畫面切版。
技術能力,你的資料庫經驗如何,關聯式資料庫方面熟悉 MS SQL Server（T-SQL）、MySQL 與 SQLite，具備 ER Model 關聯結構設計與持久化資料管理能力；向量資料庫則使用過 ChromaDB 與 FAISS。
技術能力,你平常用什麼開發工具？,版本控制使用 Git，搭配 GitHub、Gitea 與 Sourcetree；開發環境是 VS Code，資料庫工具為 SSMS 與 MySQL Workbench，另外會用 ngrok 做內網穿透測試。
技術能力,張序亞如何處理金融交易數據以避免誤差？,為確保龐大金融交易數據的精準度，他主動導入「銀行家捨入法（Banker's Rounding，四捨六入五成雙）」，迴避巨量浮點數累加產生的系統誤差。
技術能力,C# 銀行家捨入法是什麼？,銀行家捨入法又稱四捨六入五成雙，是在遇到 0.5 時改為進位到最接近偶數的捨入規則。相較於傳統四捨五入，它在大量資料累加時不會產生單向偏移，因此適合用在財務運算。
技術能力,你在什麼硬體條件下開發 AI？,他的開發機使用 GTX 1070 顯示卡，沒有張量運算單元、VRAM 只有 8GB，這對跑本地模型是相當嚴苛的限制。他因此採取大小模型分工的策略：主模型約 4.9GB 負責規劃與回覆，另一顆約 3.3GB 的小模型負責關鍵字抽取、數值萃取這類窄任務，讓兩顆模型能同時常駐在有限的顯存內。
技術能力,硬體資源不足的時候你怎麼取捨？,他的原則是把算力花在真正需要判斷力的環節。在 8GB VRAM 的限制下，他把任務拆成「需要理解上下文」與「只需要格式轉換」兩類，前者交給主模型，後者交給小模型，並用結構化輸出約束小模型的回覆格式，用架構設計換取硬體上的不足。
AI與LLM,張序亞對AI與LLM的理解程度到哪裡？,他的理解深入 NLP 與底層架構，熟悉 Transformer 的注意力機制、矩陣運算與 Token 本質，掌握 Context Window 記憶限制與 LoRA 微調概念，並實際使用 SentenceTransformers（PyTorch）處理向量化。
AI與LLM,你懂 Transformer 的原理嗎？,他熟悉 Transformer 的注意力機制與矩陣運算，也理解 Token 的本質、Context Window 的記憶限制，以及 LoRA 微調的概念。
AI與LLM,你們用的是哪個語言模型,系統跑在本機的 Ollama 上，並透過 Modelfile 做本地端調校。實務上採大小模型分工：主模型負責任務規劃與最終回覆，小模型負責關鍵字抽取、數值萃取這類窄任務。
AI與LLM,什麼是 Prompt Engineering 防護網？,是在提示層加上的約束設計。例如他在客服系統採「先解析、後客服」的兩段式提示，讓模型一次只做一件事；同時搭配 Regex 規則層攔截敏感字眼，避免模型回答不該回答的內容。
RAG與向量資料庫,張序亞如何實作RAG系統？,他運用 ChromaDB 向量資料庫，透過高維度向量的餘弦相似度進行檢索，搭建高精準與模糊擴展的雙軌架構，大幅降低模型幻覺。向量化則使用 SentenceTransformers 產生嵌入。
RAG與向量資料庫,RAG 雙軌架構怎麼運作？,雙軌是把知識庫分成兩層：A 軌是人工撰寫、逐題校對過的高精準問答庫，命中時直接回覆標準答案；B 軌是把文件自動切塊建立的擴展庫，涵蓋範圍廣但精度較低。查詢時先比對 A 軌，相似度夠高就直接採用，不夠高才退到 B 軌撈參考段落。
RAG與向量資料庫,為什麼要做成雙軌而不是單一知識庫,單一知識庫必須在精準與覆蓋之間二選一。雙軌讓最常被問到的題目走人工校對的高精準軌確保零誤差，其餘長尾問題則交給自動切塊的擴展軌兜底，兩者互補。
RAG與向量資料庫,他是怎麼解決知識庫檢索不精準的問題？,他沒有靠感覺調參數，而是寫了一支校準腳本實測：準備一組應該命中知識庫的題目、一組應該走外部工具的題目，量出兩組的分數分佈再取中間值當門檻。過程中發現向量未正規化時 L2 距離會被向量長度主導、兩組完全分不開，改用餘弦相似度後分離度才轉為正值。
RAG與向量資料庫,檢索的相似度門檻怎麼決定？,用兩組對照題目實測分數分佈，取中間的空隙當門檻，並在每次擴充知識庫後重新校準，確認分離度沒有退化。這比憑感覺調數字可靠得多，也讓門檻的調整有依據可循。
RAG與向量資料庫,知識庫的問法覆蓋要怎麼設計？,實測發現同一個主題，問法幾乎照抄知識庫原文時相似度可達 0.9，改寫過的自然問法卻只剩 0.57 到 0.85。因為使用者不會照著知識庫打字，所以他為每個主題刻意撰寫三到五種不同問法，用覆蓋率換命中率。
RAG與向量資料庫,文件切塊你是怎麼處理的？,他改掉了固定字數滑動視窗的作法，改成句子邊界感知的切塊：先依中文標點切句，再把完整句子累積成接近目標長度的段落。固定字數會把句子甚至單字從中間切斷，產生沒有資訊量的殘句，反而稀釋整段的語意向量。
RAG與向量資料庫,為什麼要做成雙軌而不是單一知識庫,"公司的 LINE 官方 AI 客服有兩種知識：一種是像傳統 QA 的問答，需要精準回答，他就用手寫 CSV 逐題校對；另一種是各類產品 v6、v8、v12 的操作手冊，會隨新產品不斷增加、不可能一筆筆手打，他就改用 PDF 自動切塊匯入。這兩種需求的精準度要求不同，所以他設計成手動高精準軌加自動擴展軌的雙軌架構，讓精準問答走人工校對、大量手冊走自動擴充。"
多智能體架構,你做過哪些 AI Agent 專案？,他自建了一套以 LangGraph 實作的多智能體系統，由規劃節點負責任務拆解、主管節點負責派工、搜尋節點與計算節點執行工作，最後由回覆節點統整，每個工具節點出口都設有獨立的驗收節點。
多智能體架構,多智能體的架構是怎麼設計的？,採 Planner–Supervisor–Worker 的分層設計：規劃節點在開場一次性把問題拆成任務清單，主管依清單以純程式邏輯逐項派工，工作節點執行後把結果登錄進共用紀錄，最後由回覆節點只根據該紀錄作答。
多智能體架構,為什麼要用多智能體而不是單一模型？,單一模型同時要判斷用哪個工具、抽取參數、又要組織答案，任何一環出錯都很難定位。拆成多個角色之後，每個節點的職責夠窄，可以各自加上驗收機制，出問題時看執行紀錄就知道是哪一關卡住。
多智能體架構,你怎麼避免 AI Agent 陷入無限迴圈？,用多層物理防線：任務清單讓主管清楚知道進度，不會重複派同一件工作；關鍵字硬去重避免重複呼叫外部 API；每個節點與每輪都有呼叫次數上限；驗收節點以明確的狀態旗標判斷成敗，而不是掃描文字關鍵字。
多智能體架構,開發過程中最難解的問題是什麼？,最難的是一個「知道答案卻一直重查」的迴圈。主管每一步都從零重新判斷，雖然理由欄裡已經寫出查到的數字，但那段文字沒有被存進共用狀態，下一步就完全不記得。解法是把進度顯性化成任務清單，並讓主管改用純程式邏輯勾選，而不是每次都請模型重新判斷。
多智能體架構,你怎麼確保 AI 不會自己亂算數字？,計算一律交給獨立的計算機工具，回覆節點被明文禁止心算。系統還會做數字溯源檢查：算式裡的每個數字都必須來自查證結果或題目本身，否則直接擋下重算，避免模型憑記憶編造數字。
多智能體架構,為什麼用 LangGraph 而不是自己寫流程控制？,LangGraph 提供了節點與條件邊的抽象，讓「哪個節點做完之後往哪走」變成可宣告的圖，而不是散落在程式碼裡的 if-else。狀態也是共用的，各節點讀寫同一個背包，很適合需要多輪往返與重試的代理流程。
多智能體架構,品管節點是做什麼的？,每個工具節點的出口都掛一個驗收節點，負責判斷這次執行是成功還是失敗。關鍵是它只看節點回報的狀態旗標，不去掃描文字內容——早期版本靠關鍵字判斷，結果網頁摘要裡剛好出現「錯誤」兩個字就把正確結果誤殺了。
DevOps與CICD,張序亞懂DevOps或CI/CD嗎？部署經驗為何？,他熟練掌握 Docker 微服務容器化與 Image 打包，並透過 GitHub Actions 建立 CI/CD 自動化流水線，將建置好的 Image 自動推送至 Docker Hub 並持續部署，另具備 YAML 配置腳本撰寫與 K8s 基礎概念。
DevOps與CICD,談談你的 DevOps 與 CI/CD 經驗,他以 Docker 進行容器化與 Image 打包，用 GitHub Actions 建立 CI/CD 流水線，程式推送後自動建置並推送到 Docker Hub，接著持續部署。
DevOps與CICD,你的 CI/CD 是怎麼學起來的？,從實際需求出發：先把個人專案容器化解決環境不一致的問題，再用 GitHub Actions 把建置、推送 Docker Hub 到部署這條流程自動化，邊做邊補足觀念與 YAML 配置的寫法。
DevOps與CICD,你會用 Docker 嗎,會。他使用 Docker 進行微服務容器化與 Image 打包，並搭配 GitHub Actions 自動推送到 Docker Hub 完成持續部署。
DevOps與CICD,你有處理過 HTTPS 憑證嗎？,有。他熟悉 SSL/HTTPS 憑證配置，包含 cert 與 key 的 pem 檔設定。在內部測試環境中，他採用自簽憑證搭配憑證釘選的作法，既不需要外部 CA，又能防止中間人攻擊。
DevOps與CICD,你懂 Kubernetes 嗎？,他具備 K8s 的基礎概念，實務上主要使用 Docker 容器化搭配 GitHub Actions 的自動化流水線。
系統防護,針對使用者連續傳送訊息（碎語），系統有做什麼防護嗎？,他開發了多執行緒訊息緩衝機制來解決使用者碎語造成的 API 頻繁呼叫問題，把短時間內的連續訊息合併成一次請求，並實作 SQLite 持久化記憶與 Daemon Thread 超時狀態機確保系統穩定度。
系統防護,如何處理高併發下的API頻繁呼叫問題？,核心作法是多執行緒訊息緩衝：短時間內的連續訊息會先進緩衝區合併，避免每一則都觸發一次模型呼叫。另外搭配超時狀態機與呼叫次數上限，控制高併發下的資源消耗。
系統防護,張序亞開發的系統有什麼防護機制？,他建立自動處理任務的 Workflow，並加入自動校正與即時錯誤警報的防護網，當程式出現異常時能立即發出警報，確保系統穩定性。
系統防護,你怎麼處理外部 API 失敗的情況？,每次外部呼叫都有逾時保護與重試上限，失敗會以明確的狀態旗標回報而不是靠猜文字內容；重試用盡後該項任務標記失敗但流程繼續往下跑，最後如實告知使用者哪個部分沒查到，而不是整題中斷。
系統防護,你怎麼確保系統的穩定性？,在流程中內建自動校正與即時錯誤警報機制，異常發生時立刻通知；同時對外部呼叫設定逾時保護與次數上限，避免單一失敗拖垮整個服務。
